ORGANIZAÇÃO DE CONTAS,,,,,,,,,
ID_CONTA,DATA,SALÁRIO,MÃE,ACADEMIA + PLANO CELULAR,ChatGPT,Curso DevMedia,Spotify,LAZER,PAGAMENTO
1,06/09/2023,"1195,44","203,22","120,00","0,00","0,00","0,00","872,22",TRUE
2,06/10/2023,"1187,44","201,86","120,00","0,00","0,00","0,00","865,58",TRUE
3,07/11/2023,"1187,44","201,86","120,00","0,00","0,00","0,00","865,58",TRUE
4,06/12/2023,"1179,44","200,50","120,00","0,00","0,00","0,00","858,94",TRUE
5,29/12/2023,"1051,44","199,77","120,00","0,00","0,00","26,89","704,78",TRUE
6,07/02/2024,"1179,44","200,50","120,00","0,00","0,00","11,90","847,04",TRUE
7,07/03/2024,"1091,44","200,00","120,00","0,00","0,00","11,90","759,54",TRUE
8,05/04/2024,"1179,44","200,00","120,00","0,00","0,00","11,90","847,54",TRUE
9,08/05/2024,"1195,44","200,00","129,40","0,00","0,00","11,90","854,14",TRUE
10,06/06/2024,"1211,44","200,00","129,40","0,00","70,00","11,90","800,14",TRUE
11,05/07/2024,"1195,44","200,00","129,40","0,00","70,00","11,90","784,14",TRUE
12,05/08/2024,"1123,44","200,00","129,40","0,00","70,00","11,90","712,14",TRUE
13,01/09/2024,"1195,44","200,00","129,00","0,00","70,00","21,90","774,54",TRUE
14,08/10/2024,"1203,44","200,00","129,00","0,00","70,00","21,90","782,54",TRUE
15,07/11/2024,"1211,44","200,00","129,00","121,38","70,00","0,00","691,06",TRUE
16,01/12/2024,"1179,44","100,00","129,00","0,00","70,00","0,00","880,44",TRUE
17,01/01/2025,"1059,44","100,00","129,00","0,00","140,00","0,00","690,44",TRUE
18,01/02/2025,"1179,44","0,00","387,00","0,00","140,00","0,00","652,44",FALSE
19,01/03/2024,"1195,44","0,00","387,00","0,00","210,00","0,00","598,44",FALSE
20,01/04/2025,"1203,44","0,00","387,00","0,00","0,00","0,00","816,44",FALSE
